Species,Color,Length (mm),,,,,,
Mobug,Brown,11.6,,,Brown,11.6,Blue,15.1
Mobug,Blue,16.3,,,Blue,16.3,Green,23.7
Lobug,Blue,15.1,,,Brown,15.7,Blue,18.4
Lobug,Green,23.7,,,Green,21.2,Brown,17.1
Lobug,Blue,18.4,,,Brown,13.8,Green,18.6
Lobug,Brown,17.1,,,Brown,18.2,Blue,22.9
Mobug,Brown,15.7,,,Green,19.9,Blue,21
Lobug,Green,18.6,,,Blue,14.6,Blue,20.5
Lobug,Blue,22.9,,,Blue,19.2,Blue,14.5
Lobug,Blue,21,,,Blue,13.1,Green,24.8
Lobug,Blue,20.5,,,,,Green,17.9
Mobug,Green,21.2,,,,,Green,22.7
Mobug,Brown,13.8,,,,,Brown,14.1
Lobug,Blue,14.5,,,,,Green,18.8
Lobug,Green,24.8,,,,,,
Mobug,Brown,18.2,,,,,,
Lobug,Green,17.9,,,,,,
Lobug,Green,22.7,,,,,,
Mobug,Green,19.9,,,,,,
Mobug,Blue,14.6,,,,,,
Mobug,Blue,19.2,,,,,,
Lobug,Brown,14.1,,,,,,
Lobug,Green,18.8,,,,,,
Mobug,Blue,13.1,,,,,,
